"","InvoiceNo","InvoiceDate","Country","location","CustomerId"
"1",750678428,"1/5/2019T13:08Z","Myanmar","Yangon   A",1
"2",226313081,"3/8/2019T10:29Z","Myanmar","Naypyitaw   C",1
"3",631413108,"3/3/2019T13:23Z","Myanmar","Yangon   A",1
"4",123191176,"1/27/2019T20:33Z","Myanmar","Yangon   A",1
"5",373737910,"2/8/2019T10:37Z","Myanmar","Yangon   A",1
"6",699143026,"3/25/2019T18:30Z","Myanmar","Naypyitaw   C",1
"7",355535943,"2/25/2019T14:36Z","Myanmar","Yangon   A",1
"8",315225665,"2/24/2019T11:38Z","Myanmar","Naypyitaw   C",1
"9",665329167,"1/10/2019T17:15Z","Myanmar","Yangon   A",1
"10",692925582,"2/20/2019T13:27Z","Myanmar","Mandalay   B",1
"11",351620822,"2/6/2019T18:07Z","Myanmar","Mandalay   B",1
"12",529563974,"3/9/2019T17:03Z","Myanmar","Mandalay   B",1
"13",365640515,"2/12/2019T10:25Z","Myanmar","Yangon   A",1
"14",252562699,"2/7/2019T16:48Z","Myanmar","Yangon   A",1
"15",829343910,"3/29/2019T19:21Z","Myanmar","Yangon   A",1
"16",299461805,"1/15/2019T16:19Z","Myanmar","Mandalay   B",1
"17",656959349,"3/11/2019T11:03Z","Myanmar","Yangon   A",1
"18",765266951,"1/1/2019T10:39Z","Myanmar","Yangon   A",1
"19",329621586,"1/21/2019T18:00Z","Myanmar","Yangon   A",1
"20",319503348,"3/11/2019T15:30Z","Myanmar","Mandalay   B",1
"21",300714605,"2/25/2019T11:24Z","Myanmar","Naypyitaw   C",1
"22",371855789,"3/5/2019T10:40Z","Myanmar","Mandalay   B",1
"23",273166619,"3/15/2019T12:20Z","Myanmar","Mandalay   B",1
"24",636488204,"2/17/2019T11:15Z","Myanmar","Yangon   A",1
"25",549591358,"3/2/2019T17:36Z","Myanmar","Yangon   A",1
"26",227035010,"3/22/2019T19:20Z","Myanmar","Yangon   A",1
"27",649296775,"2/8/2019T15:31Z","Myanmar","Mandalay   B",1
"28",189174241,"3/10/2019T12:17Z","Myanmar","Yangon   A",1
"29",145949061,"1/25/2019T19:48Z","Myanmar","Mandalay   B",1
"30",848627243,"3/15/2019T15:36Z","Myanmar","Yangon   A",1
"31",871798483,"2/25/2019T19:39Z","Myanmar","Mandalay   B",1
"32",149716266,"1/28/2019T12:43Z","Myanmar","Mandalay   B",1
"33",640492076,"1/10/2019T14:49Z","Myanmar","Mandalay   B",1
"34",595115460,"3/15/2019T10:12Z","Myanmar","Yangon   A",1
"35",183566882,"2/6/2019T10:42Z","Myanmar","Naypyitaw   C",1
"36",232162483,"1/7/2019T12:28Z","Myanmar","Naypyitaw   C",1
"37",129298530,"3/10/2019T19:15Z","Myanmar","Yangon   A",1
"38",272651806,"1/15/2019T17:17Z","Myanmar","Yangon   A",1
"39",333737901,"3/23/2019T13:24Z","Myanmar","Naypyitaw   C",1
"40",777827220,"3/3/2019T13:01Z","Myanmar","Mandalay   B",1
"41",280355823,"1/17/2019T18:45Z","Myanmar","Mandalay   B",1
"42",554538700,"2/2/2019T10:11Z","Myanmar","Naypyitaw   C",1
"43",354255821,"2/8/2019T13:03Z","Myanmar","Mandalay   B",1
"44",228961411,"3/4/2019T20:39Z","Myanmar","Naypyitaw   C",1
"45",617154209,"3/16/2019T19:47Z","Myanmar","Naypyitaw   C",1
"46",132329879,"3/9/2019T18:00Z","Myanmar","Mandalay   B",1
"47",370417321,"2/27/2019T17:24Z","Myanmar","Mandalay   B",1
"48",727463608,"2/6/2019T15:47Z","Myanmar","Mandalay   B",1
"49",669541719,"2/10/2019T12:45Z","Myanmar","Mandalay   B",1
"50",574225561,"3/19/2019T17:08Z","Myanmar","Naypyitaw   C",1
"51",326785178,"2/3/2019T10:19Z","Myanmar","Naypyitaw   C",1
"52",162488011,"2/10/2019T15:10Z","Myanmar","Yangon   A",1
"53",616242851,"3/22/2019T14:42Z","Myanmar","Mandalay   B",1
"54",778715554,"1/25/2019T15:46Z","Myanmar","Naypyitaw   C",1
"55",242556721,"3/7/2019T11:49Z","Myanmar","Mandalay   B",1
"56",399465918,"2/28/2019T19:01Z","Myanmar","Naypyitaw   C",1
"57",106356779,"3/27/2019T11:26Z","Myanmar","Yangon   A",1
"58",635406220,"2/7/2019T11:28Z","Myanmar","Yangon   A",1
"59",817488732,"1/20/2019T15:55Z","Myanmar","Yangon   A",1
"60",120064233,"3/12/2019T20:36Z","Myanmar","Naypyitaw   C",1
"61",285685083,"2/15/2019T17:47Z","Myanmar","Naypyitaw   C",1
"62",803835989,"2/24/2019T10:55Z","Myanmar","Naypyitaw   C",1
"63",347342234,"2/3/2019T13:40Z","Myanmar","Mandalay   B",1
"64",199758169,"3/6/2019T12:27Z","Myanmar","Yangon   A",1
"65",853232453,"2/14/2019T14:35Z","Myanmar","Mandalay   B",1
"66",877223308,"3/13/2019T16:40Z","Myanmar","Yangon   A",1
"67",838784295,"2/10/2019T15:43Z","Myanmar","Naypyitaw   C",1
"68",109282512,"1/7/2019T15:01Z","Myanmar","Mandalay   B",1
"69",232113025,"1/24/2019T10:04Z","Myanmar","Yangon   A",1
"70",382034532,"2/2/2019T18:50Z","Myanmar","Yangon   A",1
